2026-08-06 11:24:06.100566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ebpf,20.867818149999998
2026-08-06 11:24:12.100566,226013.0,16536829001.0,26047116746.0,17046676686.0,139675.0,1447.0,99342.0,1471.0,ebpf,20.882463920000003
2026-08-06 11:24:18.100566,309960.0,16572723595.0,26041365250.0,17097222506.0,139307.0,1442.0,99202.0,1469.0,ebpf,21.07892521
2026-08-06 11:24:24.100566,216368.0,16627700738.0,26026500737.0,17198295218.0,137249.0,1422.0,90688.0,1340.0,ebpf,20.947008399999998
2026-08-06 11:24:30.100566,180172.0,16643403311.0,26031086044.0,17178976854.0,140054.0,1445.0,99228.0,1470.0,ebpf,20.95289102
2026-08-06 11:24:12.100566,226013.0,16536829001.0,26047116746.0,17046676686.0,139675.0,1447.0,99342.0,1471.0,ebpf,20.882463920000003
2026-08-06 11:24:18.100566,309960.0,16572723595.0,26041365250.0,17097222506.0,139307.0,1442.0,99202.0,1469.0,ebpf,21.07892521
2026-08-06 11:24:24.100566,216368.0,16627700738.0,26026500737.0,17198295218.0,137249.0,1422.0,90688.0,1340.0,ebpf,20.947008399999998
2026-08-06 11:24:30.100566,180172.0,16643403311.0,26031086044.0,17178976854.0,140054.0,1445.0,99228.0,1470.0,ebpf,20.95289102
2026-08-06 11:24:36.100566,179101.0,16635750589.0,26021945340.0,17187568346.0,140185.0,1450.0,99638.0,1475.0,ebpf,24.81044983
2026-08-06 11:24:18.100566,309960.0,16572723595.0,26041365250.0,17097222506.0,139307.0,1442.0,99202.0,1469.0,ebpf,21.07892521
2026-08-06 11:24:24.100566,216368.0,16627700738.0,26026500737.0,17198295218.0,137249.0,1422.0,90688.0,1340.0,ebpf,20.947008399999998
2026-08-06 11:24:30.100566,180172.0,16643403311.0,26031086044.0,17178976854.0,140054.0,1445.0,99228.0,1470.0,ebpf,20.95289102
2026-08-06 11:24:36.100566,179101.0,16635750589.0,26021945340.0,17187568346.0,140185.0,1450.0,99638.0,1475.0,ebpf,24.81044983
2026-08-06 11:24:42.100566,162543.0,16618336425.0,26032347050.0,17139316350.0,140039.0,1446.0,98814.0,1463.0,ebpf,22.30720108
2026-08-06 11:24:24.100566,216368.0,16627700738.0,26026500737.0,17198295218.0,137249.0,1422.0,90688.0,1340.0,ebpf,20.947008399999998
2026-08-06 11:24:30.100566,180172.0,16643403311.0,26031086044.0,17178976854.0,140054.0,1445.0,99228.0,1470.0,ebpf,20.95289102
2026-08-06 11:24:36.100566,179101.0,16635750589.0,26021945340.0,17187568346.0,140185.0,1450.0,99638.0,1475.0,ebpf,24.81044983
2026-08-06 11:24:42.100566,162543.0,16618336425.0,26032347050.0,17139316350.0,140039.0,1446.0,98814.0,1463.0,ebpf,22.30720108
2026-08-06 11:24:48.100566,165118.0,16630312972.0,26036517054.0,17183883834.0,139125.0,1437.0,99474.0,1473.0,ebpf,23.6197486
2026-08-06 11:24:30.100566,180172.0,16643403311.0,26031086044.0,17178976854.0,140054.0,1445.0,99228.0,1470.0,ebpf,20.95289102
2026-08-06 11:24:36.100566,179101.0,16635750589.0,26021945340.0,17187568346.0,140185.0,1450.0,99638.0,1475.0,ebpf,24.81044983
2026-08-06 11:24:42.100566,162543.0,16618336425.0,26032347050.0,17139316350.0,140039.0,1446.0,98814.0,1463.0,ebpf,22.30720108
2026-08-06 11:24:48.100566,165118.0,16630312972.0,26036517054.0,17183883834.0,139125.0,1437.0,99474.0,1473.0,ebpf,23.6197486
2026-08-06 11:24:54.100566,166982.0,16570512986.0,26046377603.0,17053959104.0,141418.0,1459.0,101264.0,1500.0,ebpf,22.711661919999997
2026-08-06 11:24:36.100566,179101.0,16635750589.0,26021945340.0,17187568346.0,140185.0,1450.0,99638.0,1475.0,ebpf,24.81044983
2026-08-06 11:24:42.100566,162543.0,16618336425.0,26032347050.0,17139316350.0,140039.0,1446.0,98814.0,1463.0,ebpf,22.30720108
2026-08-06 11:24:48.100566,165118.0,16630312972.0,26036517054.0,17183883834.0,139125.0,1437.0,99474.0,1473.0,ebpf,23.6197486
2026-08-06 11:24:54.100566,166982.0,16570512986.0,26046377603.0,17053959104.0,141418.0,1459.0,101264.0,1500.0,ebpf,22.711661919999997
